IBOV - Carteira Jan. a Abr. 2025
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON  EDJ;4.394.835.131;2,580;
ALOS3;ALLOS;ON  EJ  NM;476.976.044;0,442;
AMOB3;AUTOMOB;ON      NM;533.959.816;0,009;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,378;
AURE3;AUREN;ON      NM;323.738.747;0,141;
AZUL4;AZUL;PN      N2;326.872.005;0,064;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,205;
B3SA3;B3;ON  EJ  NM;5.392.540.963;2,822;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,497;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,794;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;2,977;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,189;
BEEF3;MINERVA;ON      NM;261.359.935;0,064;
BPAC11;BTGP BANCO;UNT EX  N2;1.287.247.964;1,774;
BRAP4;BRADESPAR;PN  EJ  N1;250.969.312;0,208;
BRAV3;BRAVA;ON      NM;460.791.208;0,554;
BRFS3;BRF SA;ON      NM;814.523.002;1,013;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,158;
CCRO3;CCR SA;ON      NM;991.920.937;0,519;
CMIG4;CEMIG;PN  EJ  N1;1.858.636.840;1,044;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,416;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,105;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,302;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,782;
CRFB3;CARREFOUR BR;ON  EJ  NM;532.664.283;0,147;
CSAN3;COSAN;ON      NM;1.150.987.430;0,480;
CSNA3;SID NACIONAL;ON;727.459.637;0,310;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,041;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,375;
CYRE3;CYRELA REALT;ON      NM;273.755.006;0,233;
EGIE3;ENGIE BRASIL;ON  EJ  NM;255.236.938;0,467;
ELET3;ELETROBRAS;ON  ED  N1;1.977.170.723;3,438;
ELET6;ELETROBRAS;PNB ED  N1;268.875.696;0,520;
EMBR3;EMBRAER;ON      NM;734.631.801;2,171;
ENEV3;ENEVA;ON      NM;1.929.556.616;1,007;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,602;
EQTL3;EQUATORIAL;ON      NM;1.249.258.717;1,699;
FLRY3;FLEURY;ON      NM;455.988.366;0,282;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,115;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,328;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,520;
HYPE3;HYPERA;ON  EDJ NM;370.735.677;0,344;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,187;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,178;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,463;
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,554;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,407;
JBSS3;JBS;ON      NM;1.145.962.972;2,157;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,900;
LREN3;LOJAS RENNER;ON  EJ  NM;1.051.120.777;0,662;
LWSA3;LWSA;ON      NM;389.635.155;0,065;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,115;
MRFG3;MARFRIG;ON      NM;302.019.876;0,264;
MRVE3;MRV;ON      NM;377.241.484;0,100;
MULT3;MULTIPLAN;ON  EJ  N2;314.150.156;0,330;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,548;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,064;
PETR3;PETROBRAS;ON  EDJ N2;2.255.782.178;4,720;
PETR4;PETROBRAS;PN  EDJ N2;4.431.132.660;8,354;
PETZ3;PETZ;ON      NM;293.689.428;0,061;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,254;
PRIO3;PETRORIO;ON      NM;779.999.989;1,642;
PSSA3;PORTO SEGURO;ON  EJ  NM;182.560.698;0,329;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,387;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,109;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,132;
RDOR3;REDE D OR;ON  EJ  NM;1.145.289.019;1,493;
RECV3;PETRORECSA;ON      NM;275.170.410;0,234;
RENT3;LOCALIZA;ON      NM;965.986.531;1,616;
SANB11;SANTANDER BR;UNT;356.586.730;0,433;
SBSP3;SABESP;ON      NM;683.508.568;3,078;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,171;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,161;
STBP3;SANTOS BRP;ON  EJ  NM;855.712.622;0,584;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;2,049;
TAEE11;TAESA;UNT     N2;218.568.234;0,365;
TIMS3;TIM;ON  EJ  NM;807.495.418;0,603;
TOTS3;TOTVS;ON      NM;540.206.440;0,732;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,878;
USIM5;USIMINAS;PNA     N1;515.193.199;0,129;
VALE3;VALE;ON      NM;4.270.903.023;11,783;
VAMO3;VAMOS;ON      NM;485.166.826;0,115;
VBBR3;VIBRA;ON  EJ  NM;1.023.538.460;0,934;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,118;
VIVT3;TELEF BRASIL;ON  EJ;382.442.128;0,929;
