.interval,.observations,.portfolio_tickers,id_carteira,.market_ticker,shapiro_w,shapiro_p,adf_stat,adf_lag_order,adf_p
month,3,,1,^BVSP,0.8350175747242663,1.8618907567632542e-6,-2.6509947060096692,3,0.3119851902321287
month,6,,1,^BVSP,0.9801153026083534,0.5053049888810072,-3.317080232106616,3,0.07821828229193604
month,12,,1,^BVSP,0.920460136262181,0.0030860246622888754,-2.163249592712821,3,0.5089258815044645
month,24,,1,^BVSP,0.8911565227306726,0.00197269442581943,-1.3308211298660755,3,0.8335326342933559
week,13,,1,^BVSP,0.9560429701704333,7.149552679798814e-7,-3.103154302682281,6,0.11141332939776281
week,26,,1,^BVSP,0.9454371677740773,9.954329815020772e-8,-2.3775871628834353,6,0.41714675233486687
week,52,,1,^BVSP,0.9312674208186105,2.290128034939437e-8,-1.8963793483100735,5,0.6194790140893379
week,104,,1,^BVSP,0.9670223858846029,7.936998505640685e-4,-2.116517849294203,5,0.5277628065071602
month,3,,1,^GSPC,0.7994926579718876,8.534783498607381e-7,-3.176578931511337,3,0.10233496529830055
month,6,,1,^GSPC,0.8442230514777025,1.8274345581908587e-5,-3.0188057339569823,3,0.1680590819059644
month,12,,1,^GSPC,0.9108447664390471,0.003520850004109522,-2.3458810779046377,3,0.4375099005291494
month,24,,1,^GSPC,0.7344362026826721,6.8288579110833915e-6,-1.708515301320216,3,0.6843529609659897
week,13,,1,^GSPC,0.9811830922781586,0.005555473240935814,-4.346966316160545,5,0.01
week,26,,1,^GSPC,0.959441506426376,1.4904248205228445e-5,-3.1631335950290778,5,0.09554440082848706
week,52,,1,^GSPC,0.8946888667564611,6.993716738268837e-10,-2.2935894532859056,5,0.45357309938615453
week,104,,1,^GSPC,0.6760082581744167,3.0779420697846596e-15,-4.7613788046735825,4,0.01
month,3,,2,^BVSP,0.8651803896346488,1.3804962055965076e-5,-2.701191026233061,3,0.29173248891141373
month,6,,2,^BVSP,0.8662155488661394,2.3455060936901387e-5,-0.3659565180051518,3,0.9845489771468315
month,12,,2,^BVSP,0.8438132650216764,1.4957158730087652e-5,1.4506459279271426,3,0.99
month,24,,2,^BVSP,0.9397877387014341,0.05003330560754052,-2.22222469766919,3,0.48668299701587936
week,13,,2,^BVSP,0.9671963979512137,1.7366397416064226e-5,-5.403209771740009,6,0.01
week,26,,2,^BVSP,0.9582922228289323,2.3597450060193628e-6,-3.6295871660202557,6,0.031146262784326757
week,52,,2,^BVSP,0.9521718494249698,1.8237791406984985e-6,-3.2374153963279073,5,0.08300854505645987
week,104,,2,^BVSP,0.9310643773714069,6.679145692167975e-7,-3.226097557939105,5,0.08605040701014918
month,3,,2,^GSPC,0.9915624434316259,0.9756477563419548,-4.648206752577848,3,0.01
month,6,,2,^GSPC,0.9717156726466826,0.3074629071791718,-1.9741320963855817,3,0.5843466441978156
month,12,,2,^GSPC,0.9475282694561036,0.05732483962532455,-2.2400526715901177,3,0.47913365915826256
month,24,,2,^GSPC,0.9458268940830572,0.1424831953226501,-2.2538519797395518,3,0.4752915546331027
week,13,,2,^GSPC,0.9888469940860365,0.09158363334874789,-3.6710222409899265,5,0.027674221568961592
week,26,,2,^GSPC,0.9708692408925971,3.213974189061119e-4,-2.4032221024351053,5,0.4071545444343925
week,52,,2,^GSPC,0.9764113576853316,0.004212435218218894,-1.776220294337592,5,0.669729004524368
week,104,,2,^GSPC,0.7806035073960056,2.1736360356218926e-12,-2.3877169179651987,4,0.41543032704541916
month,3,,3,^BVSP,0.8374379254924433,2.1692424978876086e-6,-2.953194218361019,3,0.1900568011454433
month,6,,3,^BVSP,0.9757743667675292,0.3410053379963285,-2.294492609047345,3,0.4559030974436792
month,12,,3,^BVSP,0.9401540427086565,0.016451718425214864,-2.3563931694880984,3,0.431791865220408
month,24,,3,^BVSP,0.89694788868046,0.002818637317986485,-3.6039393617229236,3,0.046671260475536096
week,13,,3,^BVSP,0.9674374291960129,1.8712261530193928e-5,-3.600142411487444,6,0.03368252963427471
week,26,,3,^BVSP,0.9861138474965566,0.021415014382722357,-2.2403206448247355,6,0.4748520673358968
week,52,,3,^BVSP,0.9635509843837331,3.1161935792176396e-5,-2.1200004208345216,5,0.5257273853190001
week,104,,3,^BVSP,0.9664990310658006,7.015691284886069e-4,-1.8962385522356258,5,0.6196128209170746
month,3,,3,^GSPC,0.928136677836403,0.004700967735209169,-4.1635993240261495,3,0.01
month,6,,3,^GSPC,0.8579624019693247,4.21058916345637e-5,-3.253826817946042,3,0.0901613330352264
month,12,,3,^GSPC,0.951563578010611,0.07942035775552794,-2.0419526070483607,3,0.5570491221048729
month,24,,3,^GSPC,0.78692501874062,4.911592085338999e-5,-1.6660502410762463,3,0.7006324550215656
week,13,,3,^GSPC,0.9407457508704398,1.0588451456639759e-7,-3.448929985845608,5,0.048652709145566006
week,26,,3,^GSPC,0.9350661677384821,7.258824898469117e-8,-2.423369795897373,5,0.3987139522843012
week,52,,3,^GSPC,0.9743217933119058,0.002337389943024289,-2.6428399804887035,5,0.3076568565606697
week,104,,3,^GSPC,0.9241993470099357,2.8240838550749634e-6,-1.9311885549403949,4,0.605136690238772
month,3,,4,^BVSP,0.9604785652706307,0.05994525176212435,-2.6890710912661047,3,0.29662251714097054
month,6,,4,^BVSP,0.9369258807394982,0.006953058869293707,-2.3090918966770273,3,0.45002340045226463
month,12,,4,^BVSP,0.9184420165329291,0.002620751006471911,-0.5923301362206391,3,0.973117261656882
month,24,,4,^BVSP,0.8694580122626934,5.519528354410492e-4,-1.2058576838473631,3,0.8821565432500533
week,13,,4,^BVSP,0.9816436617260961,0.002639413004100204,-3.7974298452209965,6,0.019657548828359794
week,26,,4,^BVSP,0.9232671408643265,1.04114419745084e-9,-2.599349837296431,6,0.32392019451542564
week,52,,4,^BVSP,0.9158851715257115,1.4899324751605903e-9,-2.1175552579162558,5,0.5267525034065238
week,104,,4,^BVSP,0.897381314891043,4.769285415686166e-9,-1.3750312778135638,5,0.8369409870474038
month,3,,4,^GSPC,0.8289070621676989,4.3536113467927165e-6,-4.422911606080227,3,0.01
month,6,,4,^GSPC,0.8953447634418062,5.133296828359216e-4,-3.365712650498803,3,0.0730219591760412
month,12,,4,^GSPC,0.8612784818787247,1.4358910377397036e-4,-2.1281866534303076,3,0.5231320930460934
month,24,,4,^GSPC,0.9460860708045349,0.1447238607861458,-2.766606327301883,3,0.27872097860767386
week,13,,4,^GSPC,0.9738124116651841,4.7889353617056474e-4,-2.8202633002910655,5,0.2318944379132044
week,26,,4,^GSPC,0.9526323540925808,2.9176322327253823e-6,-2.2691732420183826,5,0.46331242479330437
week,52,,4,^GSPC,0.9766806290193215,0.004549676083128865,-2.130111896666622,5,0.5218737288489845
week,104,,4,^GSPC,0.9672139332485807,0.003937915137147357,-1.5952405758107333,4,0.7447369308910313
month,3,,5,^BVSP,0.5164278284976256,1.9990384382676097e-12,-3.1903792432326896,3,0.09779923752633982
month,6,,5,^BVSP,0.9658162431443431,0.12560888235369969,-2.3982954629184507,3,0.4140976790501609
month,12,,5,^BVSP,0.9550269653410562,0.06357819696589344,-1.745633704446027,3,0.6757053895982319
month,24,,5,^BVSP,0.8485164243454362,1.7597219216572698e-4,-2.8694291033515893,3,0.23485248896825328
week,13,,5,^BVSP,0.9862194362069872,0.016895217621152956,-3.6140345951884787,6,0.0323481113740575
week,26,,5,^BVSP,0.9846589185975906,0.012018627888790793,-1.9716752746671933,6,0.5877875881588257
week,52,,5,^BVSP,0.9381797930943925,8.830698117790724e-8,-1.2090801477819801,5,0.9029076719598199
week,104,,5,^BVSP,0.881484114457489,6.551079162032522e-10,-1.2043993503400403,5,0.9030677814136558
month,3,,5,^GSPC,0.9538396193274963,0.049156702463360624,-3.6783887515056364,3,0.03556384507403673
month,6,,5,^GSPC,0.9552974748068529,0.07002018056632314,-3.605686296389184,3,0.042720268150228585
